LECROYWP740Zi,47836,Waveform,
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1,
#1,3/1/2007 6:05,0,
Time,Ch1,Ch2,
Second,Value,Value,
-5.59E-09,-0.0339855,-0.0339855,
-5.57E-09,-0.0334861,-0.0334861,
-5.54E-09,-0.0350397,-0.0350397,
-5.52E-09,-0.0389515,-0.0389515,
-5.49E-09,-0.045388,-0.045388,
-5.47E-09,-0.0540993,-0.0540993,
-5.44E-09,-0.0645031,-0.0645031,
-5.42E-09,-0.0755171,-0.0755171,
-5.39E-09,-0.0858931,-0.0858931,
-5.37E-09,-0.0943548,-0.0943548,
-5.34E-09,-0.100292,-0.100292,
-5.32E-09,-0.103815,-0.103815,
-5.29E-09,-0.105813,-0.105813,
-5.27E-09,-0.107838,-0.107838,
-5.24E-09,-0.111417,-0.111417,
-5.22E-09,-0.117881,-0.117881,
-5.19E-09,-0.127952,-0.127952,
-5.17E-09,-0.141574,-0.141574,
-5.14E-09,-0.158026,-0.158026,
-5.12E-09,-0.17592,-0.17592,
-5.09E-09,-0.193454,-0.193454,
-5.07E-09,-0.208796,-0.208796,
-5.04E-09,-0.220531,-0.220531,
-5.02E-09,-0.228077,-0.228077,
-4.99E-09,-0.232156,-0.232156,
-4.97E-09,-0.234403,-0.234403,
-4.94E-09,-0.237066,-0.237066,
-4.92E-09,-0.24206,-0.24206,
-4.89E-09,-0.250605,-0.250605,
-4.87E-09,-0.262562,-0.262562,
-4.84E-09,-0.276933,-0.276933,
-4.82E-09,-0.292386,-0.292386,
-4.79E-09,-0.307589,-0.307589,
-4.77E-09,-0.321849,-0.321849,
-4.74E-09,-0.334778,-0.334778,
-4.72E-09,-0.346458,-0.346458,
-4.69E-09,-0.356972,-0.356972,
-4.67E-09,-0.366211,-0.366211,
-4.64E-09,-0.373896,-0.373896,
-4.62E-09,-0.379777,-0.379777,
-4.59E-09,-0.383939,-0.383939,
-4.57E-09,-0.386935,-0.386935,
-4.54E-09,-0.389876,-0.389876,
-4.52E-09,-0.394065,-0.394065,
-4.49E-09,-0.400696,-0.400696,
-4.47E-09,-0.410295,-0.410295,
-4.44E-09,-0.422585,-0.422585,
-4.42E-09,-0.436707,-0.436707,
-4.39E-09,-0.451466,-0.451466,
-4.37E-09,-0.465781,-0.465781,
-4.34E-09,-0.478904,-0.478904,
-4.32E-09,-0.490584,-0.490584,
-4.29E-09,-0.500738,-0.500738,
-4.27E-09,-0.509422,-0.509422,
-4.24E-09,-0.516774,-0.516774,
-4.22E-09,-0.523349,-0.523349,
-4.19E-09,-0.530174,-0.530174,
-4.17E-09,-0.538635,-0.538635,
-4.14E-09,-0.550065,-0.550065,
-4.12E-09,-0.565075,-0.565075,
-4.09E-09,-0.583108,-0.583108,
-4.07E-09,-0.602389,-0.602389,
-4.04E-09,-0.620561,-0.620561,
-4.02E-09,-0.635431,-0.635431,
-3.99E-09,-0.645891,-0.645891,
-3.97E-09,-0.652355,-0.652355,
-3.94E-09,-0.65635,-0.65635,
-3.92E-09,-0.659956,-0.659956,
-3.89E-09,-0.664895,-0.664895,
-3.87E-09,-0.671775,-0.671775,
-3.84E-09,-0.68007,-0.68007,
-3.82E-09,-0.688393,-0.688393,
-3.79E-09,-0.695385,-0.695385,
-3.77E-09,-0.70024,-0.70024,
-3.74E-09,-0.703264,-0.703264,
-3.72E-09,-0.705566,-0.705566,
-3.69E-09,-0.708507,-0.708507,
-3.67E-09,-0.713002,-0.713002,
-3.64E-09,-0.719188,-0.719188,
-3.62E-09,-0.726624,-0.726624,
-3.59E-09,-0.734669,-0.734669,
-3.57E-09,-0.743103,-0.743103,
-3.54E-09,-0.752231,-0.752231,
-3.52E-09,-0.762551,-0.762551,
-3.49E-09,-0.774397,-0.774397,
-3.47E-09,-0.787437,-0.787437,
-3.44E-09,-0.800809,-0.800809,
-3.42E-09,-0.813432,-0.813432,
-3.39E-09,-0.824474,-0.824474,
-3.37E-09,-0.833851,-0.833851,
-3.34E-09,-0.842035,-0.842035,
-3.32E-09,-0.849693,-0.849693,
-3.29E-09,-0.857294,-0.857294,
-3.27E-09,-0.864785,-0.864785,
-3.24E-09,-0.871693,-0.871693,
-3.22E-09,-0.877602,-0.877602,
-3.19E-09,-0.882485,-0.882485,
-3.17E-09,-0.886702,-0.886702,
-3.14E-09,-0.890753,-0.890753,
-3.12E-09,-0.894886,-0.894886,
-3.09E-09,-0.89877,-0.89877,
-3.07E-09,-0.901489,-0.901489,
-3.04E-09,-0.902044,-0.902044,
-3.02E-09,-0.899686,-0.899686,
-2.99E-09,-0.894442,-0.894442,
-2.97E-09,-0.88698,-0.88698,
-2.94E-09,-0.878379,-0.878379,
-2.92E-09,-0.869529,-0.869529,
-2.89E-09,-0.860873,-0.860873,
-2.87E-09,-0.852217,-0.852217,
-2.84E-09,-0.843173,-0.843173,
-2.82E-09,-0.833324,-0.833324,
-2.79E-09,-0.822726,-0.822726,
-2.77E-09,-0.811768,-0.811768,
-2.74E-09,-0.800892,-0.800892,
-2.72E-09,-0.790405,-0.790405,
-2.69E-09,-0.780168,-0.780168,
-2.67E-09,-0.770014,-0.770014,
-2.64E-09,-0.759888,-0.759888,
-2.62E-09,-0.750122,-0.750122,
-2.59E-09,-0.741522,-0.741522,
-2.57E-09,-0.734891,-0.734891,
-2.54E-09,-0.730397,-0.730397,
-2.52E-09,-0.727511,-0.727511,
-2.49E-09,-0.724792,-0.724792,
-2.47E-09,-0.720465,-0.720465,
-2.44E-09,-0.713085,-0.713085,
-2.42E-09,-0.702265,-0.702265,
-2.39E-09,-0.688893,-0.688893,
-2.37E-09,-0.67466,-0.67466,
-2.34E-09,-0.661482,-0.661482,
-2.32E-09,-0.650635,-0.650635,
-2.29E-09,-0.642451,-0.642451,
-2.27E-09,-0.63643,-0.63643,
-2.24E-09,-0.631464,-0.631464,
-2.22E-09,-0.626665,-0.626665,
-2.19E-09,-0.621477,-0.621477,
-2.17E-09,-0.615872,-0.615872,
-2.14E-09,-0.610268,-0.610268,
-2.12E-09,-0.605275,-0.605275,
-2.09E-09,-0.60139,-0.60139,
-2.07E-09,-0.59906,-0.59906,
-2.04E-09,-0.598394,-0.598394,
-2.02E-09,-0.599337,-0.599337,
-1.99E-09,-0.601585,-0.601585,
-1.97E-09,-0.604775,-0.604775,
-1.94E-09,-0.608437,-0.608437,
-1.92E-09,-0.612127,-0.612127,
-1.89E-09,-0.615207,-0.615207,
-1.87E-09,-0.617093,-0.617093,
-1.84E-09,-0.617315,-0.617315,
-1.82E-09,-0.615845,-0.615845,
-1.79E-09,-0.613154,-0.613154,
-1.77E-09,-0.610241,-0.610241,
-1.74E-09,-0.60816,-0.60816,
-1.72E-09,-0.607494,-0.607494,
-1.69E-09,-0.60816,-0.60816,
-1.67E-09,-0.609242,-0.609242,
-1.64E-09,-0.609602,-0.609602,
-1.62E-09,-0.608548,-0.608548,
-1.59E-09,-0.606162,-0.606162,
-1.57E-09,-0.603305,-0.603305,
-1.54E-09,-0.601141,-0.601141,
-1.52E-09,-0.600419,-0.600419,
-1.49E-09,-0.601169,-0.601169,
-1.47E-09,-0.602445,-0.602445,
-1.44E-09,-0.602944,-0.602944,
-1.42E-09,-0.601557,-0.601557,
-1.39E-09,-0.597839,-0.597839,
-1.37E-09,-0.592374,-0.592374,
-1.34E-09,-0.586576,-0.586576,
-1.32E-09,-0.582164,-0.582164,
-1.29E-09,-0.580583,-0.580583,
-1.27E-09,-0.58247,-0.58247,
-1.24E-09,-0.587436,-0.587436,
-1.22E-09,-0.594399,-0.594399,
-1.19E-09,-0.602001,-0.602001,
-1.17E-09,-0.609075,-0.609075,
-1.14E-09,-0.615123,-0.615123,
-1.12E-09,-0.620173,-0.620173,
-1.09E-09,-0.624612,-0.624612,
-1.07E-09,-0.628745,-0.628745,
-1.04E-09,-0.63238,-0.63238,
-1.02E-09,-0.635154,-0.635154,
-9.94E-10,-0.636624,-0.636624,
-9.69E-10,-0.636819,-0.636819,
-9.44E-10,-0.636264,-0.636264,
-9.19E-10,-0.63607,-0.63607,
-8.94E-10,-0.637457,-0.637457,
-8.69E-10,-0.641258,-0.641258,
-8.44E-10,-0.647666,-0.647666,
-8.19E-10,-0.656017,-0.656017,
-7.94E-10,-0.665172,-0.665172,
-7.69E-10,-0.673745,-0.673745,
-7.44E-10,-0.680764,-0.680764,
-7.19E-10,-0.685841,-0.685841,
-6.94E-10,-0.689115,-0.689115,
-6.69E-10,-0.691362,-0.691362,
-6.44E-10,-0.693581,-0.693581,
-6.19E-10,-0.696661,-0.696661,
-5.94E-10,-0.701238,-0.701238,
-5.69E-10,-0.707425,-0.707425,
-5.44E-10,-0.714777,-0.714777,
-5.19E-10,-0.722434,-0.722434,
-4.94E-10,-0.729259,-0.729259,
-4.69E-10,-0.734197,-0.734197,
-4.44E-10,-0.736472,-0.736472,
-4.19E-10,-0.736084,-0.736084,
-3.94E-10,-0.733643,-0.733643,
-3.69E-10,-0.730424,-0.730424,
-3.44E-10,-0.727816,-0.727816,
-3.19E-10,-0.726984,-0.726984,
-2.94E-10,-0.728316,-0.728316,
-2.69E-10,-0.731257,-0.731257,
-2.44E-10,-0.734308,-0.734308,
-2.19E-10,-0.735807,-0.735807,
-1.94E-10,-0.734281,-0.734281,
-1.69E-10,-0.729315,-0.729315,
-1.44E-10,-0.721519,-0.721519,
-1.19E-10,-0.712502,-0.712502,
-9.37E-11,-0.704318,-0.704318,
-6.87E-11,-0.698603,-0.698603,
-4.37E-11,-0.696161,-0.696161,
-1.87E-11,-0.69655,-0.69655,
6.31E-12,-0.698409,-0.698409,
3.13E-11,-0.700018,-0.700018,
5.63E-11,-0.700045,-0.700045,
8.13E-11,-0.697826,-0.697826,
1.06E-10,-0.693581,-0.693581,
1.31E-10,-0.688255,-0.688255,
1.56E-10,-0.682845,-0.682845,
1.81E-10,-0.678101,-0.678101,
2.06E-10,-0.674106,-0.674106,
2.31E-10,-0.670665,-0.670665,
2.56E-10,-0.667308,-0.667308,
2.81E-10,-0.663785,-0.663785,
3.06E-10,-0.660095,-0.660095,
3.31E-10,-0.656683,-0.656683,
3.56E-10,-0.65413,-0.65413,
3.81E-10,-0.652965,-0.652965,
4.06E-10,-0.65327,-0.65327,
4.31E-10,-0.654713,-0.654713,
4.56E-10,-0.656433,-0.656433,
4.81E-10,-0.657432,-0.657432,
5.06E-10,-0.656822,-0.656822,
5.31E-10,-0.654297,-0.654297,
5.56E-10,-0.650108,-0.650108,
5.81E-10,-0.64528,-0.64528,
6.06E-10,-0.641147,-0.641147,
6.31E-10,-0.638705,-0.638705,
6.56E-10,-0.638566,-0.638566,
6.81E-10,-0.640425,-0.640425,
7.06E-10,-0.643283,-0.643283,
7.31E-10,-0.645807,-0.645807,
7.56E-10,-0.646917,-0.646917,
7.81E-10,-0.646196,-0.646196,
8.06E-10,-0.644198,-0.644198,
8.31E-10,-0.642145,-0.642145,
8.56E-10,-0.641674,-0.641674,
8.81E-10,-0.643671,-0.643671,
9.06E-10,-0.648027,-0.648027,
9.31E-10,-0.653492,-0.653492,
9.56E-10,-0.657959,-0.657959,
